,0
0,526.0
1,546.0
2,536.0
3,574.0
4,581.0
5,589.0
6,1061.2
7,589.0
8,562.0
9,1025.2
10,1042.2
11,570.0
12,534.0
13,569.0
14,557.0
15,578.0
16,582.0
17,604.0
18,592.0
19,586.0
20,600.0
21,587.0
22,628.0
23,631.0
24,1105.2
25,652.0
26,1152.2
27,1237.2
28,774.0
29,789.0
30,835.0
31,873.0
32,1370.2
33,895.0
34,1327.2
35,872.0
36,888.0
37,831.0
38,805.0
39,711.0
40,667.0
41,1109.2
42,1101.2
43,645.0
44,689.0
45,699.0
46,734.0
47,1264.2
48,968.0
49,922.0
50,865.0
51,1372.2
52,937.0
53,965.0
54,978.0
55,1456.2
56,1009.0
57,1475.2
58,1386.2
59,939.0
60,1408.2
61,926.0
62,923.0
63,883.0
64,852.0
65,836.0
66,1214.2
67,782.0
68,810.0
69,1285.2
70,1296.2
71,837.0
72,804.0
73,831.0
74,1285.2
75,842.0
76,1307.2
77,852.0
78,864.0
79,850.0
80,875.0
81,878.0
82,872.0
83,852.0
84,857.0
85,857.0
86,818.0
87,970.0
88,884.0
89,793.0
90,770.0
91,834.0
92,1290.2
93,779.0
94,1242.2
95,765.0
96,1227.2
97,1205.2
98,737.0
99,735.0
100,738.0
101,1211.2
102,751.0
103,1233.2
104,793.0
105,805.0
106,784.0
107,1278.2
108,813.0
109,810.0
110,796.0
111,1256.2
112,808.0
113,844.0
114,836.0
115,824.0
116,812.0
117,732.0
118,619.0
119,539.0
120,517.0
121,503.0
122,1017.2
123,1084.2
124,1143.2
125,652.0
126,636.0
127,652.0
128,665.0
129,1155.2
130,752.0
131,739.0
132,719.0
133,704.0
134,695.0
135,1161.2
136,1170.2
137,709.0
138,695.0
139,685.0
140,624.0
141,620.0
142,622.0
143,596.0
144,546.0
145,524.0
146,532.0
147,632.0
148,683.0
149,715.0
150,762.0
151,808.0
152,1301.2
153,1301.2
154,1323.2
155,873.0
156,1330.2
157,1323.2
158,857.0
159,844.0
160,836.0
161,1287.2
162,1336.2
163,1335.2
164,855.0
165,856.0
166,805.0
167,1265.2
168,827.0
169,819.0
170,782.0
171,803.0
172,803.0
173,1237.2
174,738.0
175,622.0
176,529.0
177,524.0
178,1013.2
179,563.0
180,611.0
181,669.0
182,691.0
183,614.0
184,604.0
185,1012.2
186,565.0
187,568.0
188,1036.2
189,539.0
190,521.0
191,479.0
192,511.0
193,553.0
194,624.0
195,632.0
196,668.0
197,1152.2
198,663.0
199,652.0
200,628.0
201,659.0
202,684.0
203,684.0
204,695.0
205,679.0
206,1117.2
207,1099.2
208,603.0
209,585.0
210,511.0
211,405.0
212,479.0
213,495.0
214,437.0
215,415.0
216,431.0
217,436.0
218,912.2
219,460.0
220,474.0
221,947.2
222,957.2
223,483.0
224,486.0
225,491.0
226,496.0
227,508.0
228,932.2
229,439.0
230,418.0
231,841.2
232,363.0
233,353.0
234,353.0
235,400.0
236,847.2
237,364.0
238,387.0
239,373.0
240,828.2
241,838.2
242,373.0
243,807.2
244,311.0
245,275.0
246,707.2
247,271.0
248,754.2
249,306.0
250,334.0
251,323.0
252,300.0
253,748.2
254,736.2
255,291.0
256,264.0
257,287.0
258,328.0
259,325.0
260,811.2
261,346.0
262,352.0
263,344.0
264,806.2
265,480.0
266,617.0
267,622.0
268,681.0
269,691.0
270,590.0
271,514.0
272,938.2
273,492.0
274,482.0
275,454.0
276,433.0
277,402.0
278,362.0
279,340.0
280,291.0
281,742.2
282,771.2
283,816.2
284,396.0
285,403.0
286,897.2
287,424.0
288,420.0
289,885.2
290,413.0
291,424.0
292,450.0
293,918.2
294,437.0
295,435.0
296,414.0
297,404.0
298,413.0
299,427.0
300,448.0
301,452.0
302,450.0
303,474.0
304,485.0
305,484.0
306,953.2
307,478.0
308,458.0
309,385.0
310,433.0
311,313.0
312,724.2
313,711.2
314,254.0
315,687.2
316,177.0
317,194.0
318,205.0
319,210.0
320,223.0
321,276.0
322,315.0
323,350.0
324,864.2
325,430.0
326,427.0
327,433.0
328,910.2
329,463.0
330,528.0
331,526.0
332,984.2
333,530.0
