,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,1.0
8,18.0
9,767.5
10,973.5
11,932.5
12,683.0
13,1240.5
14,404.0
15,458.0
16,768.5
17,147.0
18,57.0
19,3.0
20,555.5
21,0.0
22,555.5
23,0.0
24,555.5
25,0.0
26,0.0
27,555.5
28,0.0
29,0.0
30,0.0
31,0.0
32,568.5
33,110.0
34,281.0
35,448.0
36,648.0
37,521.0
38,926.5
39,342.0
40,317.0
41,312.0
42,148.0
43,18.0
44,0.0
45,555.5
46,555.5
47,555.5
48,0.0
49,0.0
50,555.5
51,0.0
52,0.0
53,555.5
54,555.5
55,557.5
56,92.0
57,828.5
58,449.0
59,585.0
60,674.0
61,707.0
62,681.0
63,1162.5
64,477.0
65,302.0
66,109.0
67,2.0
68,555.5
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,555.5
75,0.0
76,0.0
77,0.0
78,0.0
79,556.5
80,641.5
81,263.0
82,439.0
83,1133.5
84,492.0
85,270.0
86,407.0
87,741.5
88,454.0
89,97.0
90,581.5
91,3.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,555.5
99,0.0
100,0.0
101,555.5
102,0.0
103,1.0
104,77.0
105,251.0
106,433.0
107,573.0
108,659.0
109,648.0
110,673.0
111,461.0
112,301.0
113,216.0
114,66.0
115,2.0
116,0.0
117,0.0
118,0.0
119,0.0
120,555.5
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,68.0
129,815.5
130,447.0
131,530.0
132,538.0
133,1048.5
134,368.0
135,533.0
136,382.0
137,825.5
138,81.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,555.5
146,0.0
147,0.0
148,0.0
149,0.0
150,555.5
151,555.5
152,594.5
153,75.0
154,101.0
155,214.0
156,349.0
157,395.0
158,514.0
159,417.0
160,271.0
161,137.0
162,48.0
163,1.0
164,0.0
165,0.0
166,555.5
167,555.5
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,1.0
176,61.0
177,224.0
178,367.0
179,613.0
180,1215.5
181,701.0
182,1229.5
183,1141.5
184,447.0
185,278.0
186,79.0
187,1.0
188,555.5
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,79.0
201,253.0
202,984.5
203,567.0
204,581.0
205,831.5
206,725.5
207,565.0
208,253.0
209,77.0
210,32.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,555.5
222,0.0
223,556.5
224,25.0
225,158.0
226,390.0
227,439.0
228,1274.5
229,1194.5
230,1224.5
231,637.0
232,487.0
233,263.0
234,37.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,555.5
241,0.0
242,0.0
243,555.5
244,0.0
245,0.0
246,0.0
247,0.0
248,77.0
249,262.0
250,426.0
251,554.0
252,556.0
253,410.0
254,303.0
255,249.0
256,140.0
257,112.0
258,42.0
259,0.0
260,0.0
261,555.5
262,555.5
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,555.5
270,0.0
271,0.0
272,37.0
273,154.0
274,364.0
275,993.5
276,457.0
277,560.0
278,1218.5
279,537.0
280,899.5
281,231.0
282,56.0
283,555.5
284,0.0
285,0.0
286,555.5
287,0.0
288,0.0
289,0.0
290,0.0
291,555.5
292,0.0
293,0.0
294,555.5
295,0.0
296,70.0
297,246.0
298,983.5
299,561.0
300,651.0
301,683.0
302,658.0
303,572.0
304,432.0
305,811.5
306,63.0
307,0.0
308,0.0
309,555.5
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,74.0
321,260.0
322,433.0
323,1124.5
324,651.0
325,685.0
326,1213.5
327,544.0
328,974.5
329,247.0
330,59.0
331,0.0
332,0.0
333,0.0
334,555.5
335,555.5
336,0.0
337,0.0
338,0.0
339,555.5
340,0.0
341,0.0
342,0.0
343,0.0
344,40.0
345,209.0
346,289.0
347,233.0
348,346.0
349,703.0
350,390.0
351,172.0
352,613.5
353,16.0
354,9.0
355,555.5
356,0.0
357,0.0
358,0.0
359,0.0
360,555.5
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,37.0
369,118.0
370,218.0
371,303.0
372,537.0
373,639.0
374,631.0
375,570.0
376,945.5
377,217.0
378,45.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,555.5
390,0.0
391,0.0
392,55.0
393,220.0
394,384.0
395,517.0
396,600.0
397,631.0
398,610.0
399,530.0
400,397.0
401,221.0
402,39.0
403,0.0
404,555.5
405,0.0
406,555.5
407,0.0
408,555.5
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,29.0
417,756.5
418,343.0
419,522.0
420,1178.5
421,617.0
422,618.0
423,413.0
424,287.0
425,678.5
426,24.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,555.5
437,0.0
438,0.0
439,0.0
440,44.0
441,773.5
442,349.0
443,262.0
444,362.0
445,420.0
446,591.0
447,1078.5
448,917.5
449,731.5
450,595.5
451,555.5
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,555.5
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,54.0
465,178.0
466,191.0
467,342.0
468,526.0
469,483.0
470,547.0
471,532.0
472,836.5
473,644.5
474,12.0
475,0.0
476,555.5
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,555.5
483,0.0
484,0.0
485,555.5
486,555.5
487,0.0
488,43.0
489,203.0
490,368.0
491,501.0
492,1133.5
493,612.0
494,1150.5
495,516.0
496,381.0
497,207.0
498,584.5
499,0.0
500,555.5
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,37.0
513,224.0
514,236.0
515,490.0
516,573.0
517,602.0
518,585.0
519,506.0
520,374.0
521,184.0
522,9.0
523,0.0
524,0.0
525,555.5
526,555.5
527,555.5
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,555.5
534,0.0
535,0.0
536,572.5
537,59.0
538,349.0
539,515.0
540,1166.5
541,638.0
542,611.0
543,526.0
544,385.0
545,207.0
546,582.5
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,555.5
556,0.0
557,0.0
558,555.5
559,0.0
560,19.0
561,658.5
562,227.0
563,460.0
564,553.0
565,569.0
566,564.0
567,1055.5
568,371.0
