,0
494,-0.1
495,-0.3
496,-0.8
497,-1.2
498,-2.1
499,-4.0
500,-5.5
501,-6.1
502,-7.7
503,-4.2
504,-3.8
505,7.2
506,-5.3
507,4.4
508,-7.6
509,-7.3
510,-7.7
511,-7.2
512,-7.0
513,-6.5
514,-6.6
515,-6.1
516,-5.7
517,-4.5
518,6.2
519,6.5
520,-4.9
521,-5.4
522,-5.1
523,-5.1
524,5.8
525,-7.0
526,-7.8
527,-7.5
528,-7.2
529,-6.5
530,-5.9
531,-5.2
532,-4.8
533,-4.5
534,-2.2
535,1.5
536,2.8
537,1.8
538,-2.8
539,-5.3
540,-10.6
541,1.4
542,-8.6
543,3.1
544,-10.2
545,-0.3
546,-12.1
547,-11.8
548,-0.3
549,-10.4
550,-9.5
551,-9.2
552,-7.7
553,-7.3
554,-7.0
555,-8.0
556,0.5
557,-10.4
558,-10.0
559,-12.6
560,-13.8
561,-13.7
562,-13.4
563,-3.4
564,-12.8
565,-11.5
566,-11.6
567,-9.7
568,-12.3
569,-3.6
570,-3.9
571,-4.0
572,-13.0
573,-11.2
574,-11.4
575,-11.1
576,-10.5
577,0.9
578,-14.7
579,-3.8
580,-16.0
581,-17.2
582,-17.8
583,-17.4
584,-16.8
585,-13.2
586,-11.8
587,-12.5
588,-11.1
589,-11.6
590,1.1
591,-9.5
592,2.4
593,-13.5
594,-12.1
595,-11.4
596,-7.6
597,-4.5
598,-3.4
599,-3.3
600,-3.2
601,8.6
602,-2.5
603,-2.1
604,-1.6
605,-1.0
606,0.5
607,1.2
608,12.8
609,1.8
610,2.5
611,2.6
612,1.8
613,12.3
614,0.7
615,0.2
616,-0.6
617,-0.9
618,-0.6
619,0.1
620,-0.3
621,-0.2
622,0.0
623,0.0
624,0.2
625,0.1
626,11.5
627,0.1
628,0.2
629,0.0
630,0.0
631,-1.0
632,-1.7
633,-1.6
634,-1.1
635,-1.2
636,-1.4
637,-1.7
638,-2.0
639,-2.4
640,-3.7
641,-5.1
642,-4.8
643,-5.0
644,-5.1
645,-4.8
646,-3.8
647,-2.1
648,-1.0
649,-0.1
650,0.6
651,0.3
652,1.4
653,2.6
654,3.4
655,5.0
656,4.1
657,4.2
658,5.8
659,6.4
660,7.0
661,18.3
662,6.4
663,5.5
664,5.3
665,4.9
666,3.9
667,3.0
668,4.6
669,13.4
670,0.4
671,0.8
672,2.2
673,2.2
674,1.9
675,13.6
676,3.1
677,1.3
678,-0.7
679,-1.2
680,-2.6
681,-4.1
682,-5.3
683,-5.7
684,-7.9
685,-8.9
686,-9.2
687,-9.2
688,-8.4
689,-8.8
690,-9.2
691,-8.1
692,-8.0
693,-8.1
694,3.7
695,-7.4
696,-7.5
697,-7.8
698,-7.9
699,-7.8
700,-7.8
701,-7.4
702,-6.3
703,-6.6
704,-6.5
705,4.9
706,-7.2
707,-7.4
708,-6.8
709,4.7
710,-5.5
711,-6.1
712,-5.8
713,-6.0
714,4.6
715,-6.9
716,-6.9
717,-7.2
718,-7.5
719,3.8
720,-7.6
721,3.6
722,-8.6
723,0.2
724,-0.4
725,-12.0
726,-12.8
727,-1.9
728,-12.8
729,-13.1
730,-13.2
731,-12.6
732,0.6
733,-10.5
734,-10.1
735,-11.1
736,-11.4
737,-11.3
738,-11.0
739,-11.3
740,-0.5
741,-12.1
742,-12.6
743,-13.0
744,-1.7
745,-13.1
746,-13.2
747,-1.5
748,-13.0
749,-13.2
750,-13.1
751,-13.2
752,-13.1
753,-12.7
754,-12.6
755,-12.3
756,-12.1
757,-12.1
758,-12.8
759,-13.0
760,-13.8
761,-13.2
762,-13.3
763,-2.1
764,-13.4
765,-12.9
766,-11.7
767,-1.1
768,-1.5
769,-1.2
770,-1.2
771,-1.5
772,-12.8
773,-12.9
774,-12.9
775,-12.0
776,-11.5
777,0.1
778,-10.7
779,-10.1
780,-9.2
781,-6.8
782,6.9
783,-3.8
784,-3.3
785,-3.8
786,-3.9
787,-3.7
788,-4.0
789,-4.1
790,-4.1
791,-4.5
792,-4.3
793,-4.1
794,7.5
795,-3.7
796,-3.8
797,-4.0
798,7.2
799,-4.3
800,-3.9
801,-4.0
802,-3.8
803,7.7
804,-3.2
805,-3.3
806,-4.0
807,-5.3
808,-5.6
809,-5.7
810,5.3
811,-6.3
812,5.2
813,4.8
814,-7.3
815,-8.0
816,-9.4
817,1.7
818,2.1
819,-9.1
820,-9.2
821,-10.2
822,-12.2
823,-1.1
824,-2.0
825,-12.7
826,-12.1
827,-11.2
828,-9.9
829,1.7
830,-9.9
831,-9.3
832,-9.7
833,-9.7
834,-9.9
835,-10.4
836,-10.8
837,-10.1
838,-9.5
839,-9.9
840,-10.9
841,-11.1
842,-11.2
843,-10.8
844,-10.8
845,-10.7
846,-10.6
847,-10.7
848,0.8
849,1.4
850,-8.6
851,-7.9
852,-7.5
853,4.3
854,-6.7
855,-6.6
856,-6.5
857,-7.0
858,-7.9
859,-7.8
860,-7.9
861,3.2
862,-8.0
863,-7.9
864,-7.8
865,3.3
866,-7.4
867,-7.2
868,-7.2
869,-7.5
870,-7.6
871,3.9
872,-7.2
873,4.3
874,-6.4
875,-6.1
876,-6.0
877,-5.9
878,-6.0
879,-6.4
880,-6.9
881,-7.2
882,3.4
883,3.1
884,-8.6
885,-8.9
886,-9.1
887,-9.2
888,-9.7
889,-10.2
890,-10.3
891,1.4
892,-9.4
893,2.9
894,-8.4
895,-8.0
896,-7.7
897,-6.8
898,4.9
899,-6.1
900,-5.9
901,-6.1
902,5.5
903,-5.8
904,5.4
905,-5.9
906,-5.7
907,-5.0
908,-3.8
909,-4.1
910,-5.2
911,-5.3
912,-5.9
913,-6.1
914,-6.4
915,-6.1
916,-5.9
917,5.5
918,-6.1
919,-5.6
920,-5.6
921,-2.9
922,-2.5
923,7.1
924,-4.4
925,-4.1
926,-3.6
927,7.5
928,7.4
929,7.6
930,-3.6
931,-3.4
932,8.0
933,-3.1
934,-3.3
935,-3.2
936,-3.6
937,7.6
938,-3.6
939,-3.7
940,7.5
941,-4.1
942,-3.9
943,-3.5
944,-1.7
945,-1.1
946,-0.1
947,0.3
948,0.5
949,11.7
950,0.1
951,11.2
952,-0.6
953,-1.1
954,-0.2
955,-0.1
956,-0.7
957,11.3
958,0.0
959,-0.5
960,-0.9
961,-1.0
962,-0.8
963,-1.0
964,-1.1
965,-1.2
966,-1.0
967,-1.0
968,10.4
969,-0.4
970,-0.1
971,11.3
972,-0.7
973,10.4
974,-1.4
975,-1.2
976,10.6
977,-1.1
978,10.2
979,10.1
980,9.9
981,-2.0
982,-1.9
983,-1.8
984,-1.8
985,-1.9
986,9.5
987,-1.8
988,9.3
989,-2.4
990,9.0
991,-2.7
992,8.7
993,-2.5
994,-1.9
995,10.2
996,10.5
997,10.7
998,-0.8
999,-1.3
1000,9.7
1001,-1.7
1002,9.8
1003,10.0
1004,-1.8
1005,-2.4
1006,-2.5
1007,-3.1
1008,-3.4
1009,8.6
1010,-2.8
1011,-2.9
1012,8.3
1013,-2.8
1014,-3.6
1015,-4.5
1016,-4.3
1017,-4.3
1018,-3.9
1019,-3.8
1020,7.6
1021,-3.0
1022,-3.0
1023,-2.8
1024,-4.3
1025,-6.1
1026,-5.8
1027,5.3
1028,4.8
1029,-6.9
1030,-6.7
1031,-6.8
1032,-6.5
1033,-6.4
1034,-6.8
1035,-6.3
1036,-6.5
1037,-5.6
1038,-5.7
1039,5.1
1040,-7.3
1041,-6.8
1042,4.4
1043,-7.3
1044,5.6
1045,7.3
1046,-4.2
1047,-4.4
1048,-3.4
1049,9.1
1050,-3.5
1051,-3.3
1052,-3.2
1053,8.1
1054,-3.0
1055,-2.9
1056,-2.5
1057,-2.8
1058,-3.6
1059,-4.5
1060,-5.9
1061,-6.0
1062,6.3
1063,-5.0
