,0
736,-3.4
737,-4.2
738,-5.7
739,-6.6
740,-7.4
741,-7.6
742,12.3
743,-7.2
744,-7.4
745,-7.4
746,-8.2
747,-7.8
748,-7.8
749,-7.8
750,-8.3
751,-7.8
752,-7.5
753,-5.7
754,-4.0
755,-2.6
756,-1.5
757,18.4
758,-0.3
759,-0.2
760,-0.3
761,18.2
762,16.2
763,-4.3
764,-4.3
765,-4.3
766,15.6
767,15.5
768,-3.9
769,-3.6
770,15.9
771,-2.9
772,-2.6
773,-3.0
774,-3.8
775,-3.3
776,16.3
777,-2.7
778,-1.7
779,-1.1
780,19.0
781,-0.6
782,-1.5
783,-1.4
784,-1.9
785,-3.3
786,-3.4
787,-3.3
788,-3.4
789,-3.4
790,-3.2
791,-3.4
792,-3.3
793,-3.1
794,-3.1
795,-3.2
796,16.0
797,-3.5
798,-3.5
799,15.7
800,-3.4
801,-3.1
802,-2.4
803,-2.5
804,-2.5
805,-2.3
806,-2.7
807,15.9
808,-3.4
809,-3.7
810,-4.0
811,14.9
812,-5.0
813,-5.3
814,-5.6
815,-5.8
816,-6.3
817,-7.0
818,-7.0
819,-7.1
820,-8.0
821,10.2
822,-9.6
823,-8.5
824,11.0
825,11.8
826,-6.3
827,13.4
828,-5.7
829,-5.3
830,-4.9
831,-4.2
832,15.3
833,13.6
834,-7.4
835,-7.9
836,-7.0
837,11.9
838,-7.9
839,-7.9
840,-7.5
841,11.5
842,-7.9
843,-7.6
844,-7.2
845,-7.4
846,-7.3
847,-6.9
848,-7.2
849,-6.8
850,-4.6
851,-5.3
852,14.9
853,-4.5
854,-3.6
855,-3.4
856,-3.1
857,15.5
858,-5.2
859,-5.8
860,-5.6
861,13.9
862,-4.3
863,-3.9
864,15.3
865,-4.0
866,14.8
867,-3.8
868,-4.3
869,-4.6
870,-5.1
871,-4.5
872,-4.0
873,-2.6
874,-1.3
875,18.1
876,-0.5
877,0.2
878,0.8
879,1.1
880,1.3
881,0.1
882,17.4
883,-2.5
884,16.6
885,-2.2
886,17.4
887,-2.0
888,-2.5
889,-2.8
890,-2.5
891,-2.8
892,-3.3
893,-3.0
894,-3.8
895,-3.5
896,15.7
897,-1.9
898,-0.7
899,0.2
900,1.1
901,1.4
902,21.6
903,1.8
904,2.2
905,1.4
906,0.9
907,20.6
908,0.9
909,0.6
910,-0.1
911,0.0
912,-0.2
913,-0.4
914,18.6
915,-0.8
916,-0.6
917,-0.9
918,-1.2
919,18.1
920,-1.4
921,1.6
922,4.2
923,4.0
924,4.6
925,4.9
926,5.2
927,5.3
928,4.6
929,3.8
930,2.9
931,2.9
932,3.5
933,23.0
934,3.5
935,3.6
936,23.4
937,4.0
938,3.6
939,3.5
940,22.9
941,4.1
942,23.9
943,4.5
944,3.0
945,2.6
946,3.7
947,22.9
948,5.7
949,4.6
950,4.7
951,4.7
952,4.9
953,4.3
954,2.3
955,1.9
956,1.8
957,1.2
958,0.9
959,20.3
960,1.1
961,0.6
962,0.8
963,1.1
964,0.8
965,0.7
966,0.6
967,19.5
968,-0.2
969,-0.3
970,0.2
971,0.9
972,1.8
973,2.6
974,2.6
975,2.6
976,21.8
977,2.2
978,2.2
979,2.1
980,1.8
981,1.8
982,2.0
983,2.1
984,1.6
985,1.3
986,0.5
987,18.9
988,0.0
989,0.0
990,19.0
991,19.3
992,0.6
993,0.7
994,1.4
995,2.4
996,3.5
997,4.3
998,4.7
999,5.0
1000,5.5
1001,5.0
1002,4.3
1003,4.1
1004,3.5
1005,3.0
1006,2.6
1007,1.5
1008,19.2
1009,-0.2
1010,-0.9
1011,-1.5
1012,-1.6
1013,-0.9
1014,-1.7
1015,16.9
1016,-2.1
1017,-0.7
1018,1.0
1019,1.4
1020,1.9
1021,2.3
1022,2.5
1023,21.8
1024,3.1
1025,2.5
1026,1.0
1027,0.3
1028,0.7
1029,1.3
1030,20.2
1031,0.6
1032,0.2
1033,19.4
1034,0.1
1035,-0.8
1036,-0.5
1037,-2.5
1038,-2.8
1039,17.6
1040,-0.2
1041,-0.1
1042,1.3
1043,1.0
1044,1.4
1045,2.0
1046,2.4
1047,2.2
1048,2.0
1049,1.4
1050,0.9
1051,0.5
1052,0.3
1053,0.3
1054,0.3
1055,0.3
1056,0.0
1057,0.4
1058,0.4
1059,0.7
1060,0.7
1061,0.5
1062,0.1
1063,0.0
1064,-0.1
1065,0.9
1066,2.3
1067,23.1
1068,3.8
1069,4.6
1070,24.4
1071,5.0
1072,23.9
1073,2.9
1074,1.3
1075,1.3
1076,21.2
1077,2.3
1078,2.3
1079,2.1
1080,1.9
1081,1.5
1082,1.6
1083,2.4
1084,20.1
1085,-0.5
1086,-0.5
1087,0.3
1088,0.5
1089,0.6
1090,1.1
1091,2.4
1092,22.4
1093,2.3
1094,1.9
1095,2.0
1096,0.9
1097,1.2
1098,0.9
1099,19.9
1100,20.2
1101,0.8
1102,19.9
1103,0.4
1104,0.4
1105,0.3
1106,0.1
1107,0.0
1108,-0.2
1109,-0.4
1110,-0.6
1111,18.5
1112,-1.2
1113,17.9
1114,-1.1
1115,-1.0
1116,-0.3
1117,0.1
1118,20.3
1119,0.9
1120,-0.2
1121,-0.7
1122,-0.7
1123,-0.6
1124,-0.1
1125,0.5
1126,0.5
1127,19.7
1128,19.8
1129,0.2
1130,-0.3
1131,-0.8
1132,-0.8
1133,-0.9
1134,18.3
1135,18.2
1136,-1.4
1137,-1.4
1138,-1.6
1139,-1.2
1140,-0.3
1141,-0.1
1142,0.1
1143,0.5
1144,0.5
1145,19.7
1146,0.7
1147,1.0
1148,1.3
1149,0.8
1150,0.2
1151,0.8
1152,1.0
1153,0.9
1154,20.1
1155,0.7
1156,20.4
1157,20.5
1158,1.3
1159,1.6
1160,1.9
1161,21.8
1162,3.5
1163,4.9
1164,5.2
1165,5.9
1166,6.5
1167,7.7
1168,8.5
1169,8.7
1170,8.2
1171,8.1
1172,7.9
1173,7.7
1174,7.7
1175,7.8
1176,7.8
1177,7.9
1178,27.4
1179,8.2
1180,28.0
1181,8.6
1182,9.0
1183,28.3
1184,27.9
1185,8.4
1186,9.1
1187,10.0
1188,9.5
1189,29.1
1190,10.8
1191,11.4
1192,11.4
1193,10.9
1194,10.2
1195,9.7
1196,9.2
1197,8.6
1198,6.1
1199,2.6
1200,1.4
1201,-0.4
1202,-2.1
1203,16.4
1204,-3.5
1205,-5.1
1206,-6.4
1207,-6.4
1208,-6.7
1209,-7.5
1210,-6.1
1211,-4.0
1212,-3.6
1213,-2.9
1214,17.1
1215,-1.0
1216,-1.3
1217,-2.5
1218,14.6
1219,-5.0
1220,-4.6
1221,-5.0
1222,-5.0
1223,-4.1
1224,-3.8
1225,14.6
1226,-5.6
1227,-6.2
1228,-6.5
1229,-6.3
1230,-6.9
1231,12.6
1232,-6.8
1233,-6.8
1234,13.0
1235,-5.8
1236,-5.4
1237,-6.1
1238,-4.9
1239,-5.7
1240,-6.8
1241,-6.8
1242,-8.0
1243,-8.5
1244,-8.2
1245,-8.9
1246,-9.4
1247,-9.4
1248,9.8
1249,-9.9
1250,-10.3
1251,-11.1
1252,-12.4
1253,-12.6
1254,-12.7
1255,6.4
1256,-13.5
1257,-13.8
1258,-12.2
1259,-11.1
1260,-10.1
1261,-10.1
1262,-10.0
1263,-9.9
1264,-9.5
1265,-9.9
1266,-10.1
1267,-10.2
1268,-9.8
1269,-10.2
1270,-9.8
1271,-10.1
1272,-10.2
1273,9.2
1274,-9.5
1275,-9.5
1276,-9.0
1277,10.5
1278,-8.7
1279,-8.4
1280,-8.4
1281,-8.0
1282,-6.0
1283,-3.8
1284,-3.4
1285,-3.0
1286,-1.1
1287,-1.7
1288,-2.8
1289,-3.7
1290,13.8
1291,-5.9
1292,-4.1
1293,-3.0
1294,-2.3
1295,16.8
1296,-2.7
1297,-2.4
1298,-2.4
1299,-2.2
1300,-1.7
1301,-1.7
1302,-1.8
1303,17.3
1304,15.9
1305,-3.9
1306,-4.2
1307,15.0
1308,-3.8
1309,-3.6
1310,-3.6
1311,-3.5
1312,-3.7
1313,15.4
1314,-4.2
1315,14.1
1316,-5.5
1317,-6.0
1318,-6.5
1319,-6.6
1320,-6.5
1321,-7.0
1322,-7.6
1323,-7.9
1324,-7.6
1325,-7.4
1326,-7.8
1327,-7.7
1328,-7.6
1329,12.3
1330,-6.1
1331,-5.4
1332,-4.6
1333,-4.5
1334,-5.1
1335,14.2
1336,-4.7
1337,15.3
1338,-3.9
1339,-3.8
1340,-3.5
1341,-3.6
1342,15.7
1343,-3.8
1344,-4.2
1345,14.7
1346,-5.1
1347,-5.4
1348,-5.2
1349,-5.3
1350,-5.0
1351,-5.2
1352,14.0
1353,-5.3
1354,-5.1
1355,-4.6
1356,-4.5
1357,-3.9
1358,-3.2
1359,16.2
1360,-3.9
1361,-3.9
1362,14.8
1363,-4.4
1364,14.6
1365,-4.9
1366,-5.8
1367,-6.3
1368,-7.0
