,0
532,0.29
533,0.8
534,0.42
535,0.65
536,0.81
537,0.79
538,0.53
539,0.9
540,0.24
541,0.24
542,0.26
543,0.26
544,0.22
545,0.2
546,0.22
547,0.26
548,0.8
549,0.32
550,0.34
551,0.9
552,0.42
553,1.0
554,1.0
555,0.45
556,0.34
557,0.35
558,0.35
559,0.27
560,0.25
561,0.7
562,0.21
563,0.7
564,0.18
565,0.2
566,0.19
567,0.7
568,0.18
569,0.15
570,0.17
571,0.7
572,0.7
573,0.28
574,0.29
575,0.29
576,0.32
577,0.33
578,0.7
579,0.21
580,0.18
581,0.17
582,0.6
583,0.7
584,0.17
585,0.21
586,0.22
587,0.18
588,0.2
589,0.17
590,0.19
591,0.7
592,0.21
593,0.6
594,0.19
595,0.23
596,0.8
597,0.41
598,0.9
599,1.0
600,0.45
601,0.47
602,0.5
603,0.52
604,0.54
605,0.56
606,1.1
607,0.61
608,0.6
609,0.53
610,0.5
611,0.44
612,0.38
613,0.34
614,0.33
615,0.32
616,0.29
617,0.29
618,0.36
619,0.41
620,0.4
621,0.9
622,0.42
623,0.4
624,0.4
625,0.4
626,0.4
627,0.41
628,0.42
629,0.42
630,0.41
631,0.37
632,0.35
633,0.34
634,0.8
635,0.33
636,0.3
637,0.28
638,0.8
639,0.24
640,0.21
641,0.19
642,0.21
643,0.22
644,0.24
645,0.8
646,0.3
647,0.35
648,0.39
649,0.43
650,0.47
651,0.47
652,0.53
653,0.59
654,1.1
655,0.72
656,1.2
657,0.71
658,1.2
659,0.69
660,1.1
661,0.59
662,0.56
663,0.49
664,0.49
665,0.49
666,0.48
667,0.46
668,0.51
669,0.9
670,0.4
671,0.44
672,0.54
673,1.1
674,0.57
675,1.1
676,0.69
677,0.93
678,0.88
679,0.83
680,0.79
681,0.76
682,0.61
683,0.57
684,0.44
685,0.39
686,0.9
687,0.4
688,0.41
689,0.43
690,0.45
691,0.55
692,0.61
693,0.65
694,0.7
695,0.74
696,0.77
697,1.2
698,0.75
699,1.2
700,0.77
701,0.84
702,0.92
703,0.94
704,1.5
705,0.9
706,1.2
707,0.66
708,1.2
709,1.2
710,1.3
711,0.77
712,0.8
713,0.81
714,0.81
715,1.3
716,0.85
717,0.83
718,0.82
719,1.3
720,0.83
721,0.88
722,0.91
723,0.74
724,0.71
725,0.7
726,0.66
727,0.66
728,1.2
729,0.64
730,0.57
731,0.58
732,0.6
733,0.6
734,0.58
735,0.51
736,0.5
737,1.0
738,0.63
739,0.66
740,0.68
741,0.67
742,1.1
743,1.1
744,0.61
745,0.6
746,0.64
747,1.1
748,0.63
749,0.62
750,1.1
751,0.62
752,0.61
753,0.54
754,0.47
755,0.43
756,0.4
757,0.38
758,0.34
759,0.8
760,0.31
761,0.35
762,0.9
763,0.45
764,0.9
765,1.0
766,0.5
767,0.47
768,0.46
769,0.46
770,0.45
771,0.9
772,0.41
773,0.42
774,0.9
775,0.47
776,0.48
777,0.48
778,0.46
779,0.46
780,0.47
781,0.59
782,0.78
783,1.3
784,0.89
785,0.96
786,0.96
787,0.97
788,1.4
789,1.4
790,0.93
791,0.91
792,0.92
793,1.4
794,1.4
795,0.96
796,0.96
797,0.96
798,0.95
799,0.94
800,1.5
801,0.93
802,1.4
803,0.91
804,0.94
805,1.4
806,0.9
807,0.85
808,1.3
809,0.84
810,0.84
811,0.85
812,0.91
813,0.9
814,0.86
815,0.83
816,0.76
817,0.8
818,0.83
819,0.84
820,1.4
821,0.91
822,1.3
823,1.2
824,0.64
825,0.63
826,0.6
827,0.63
828,1.2
829,1.2
830,0.65
831,0.64
832,0.61
833,0.71
834,0.8
835,1.3
836,0.72
837,1.3
838,0.87
839,1.3
840,1.2
841,0.75
842,0.75
843,1.2
844,0.73
845,0.75
846,0.75
847,0.72
848,1.2
