18.3,0.25,526.0,-1.8,0.0,1.7,130.2
25.7,0.25,546.0,-1.4,0.0,1.7,114.9
16.8,0.28,536.0,-1.6,0.0,4.7,262.1
23.7,0.3,574.0,-0.8,0.0,1.2,109.9
17.0,0.3,581.0,-0.6,0.0,2.0,102.9
16.7,0.31,589.0,-0.4,0.0,1.9,121.3
15.9,0.33,596.0,-0.3,0.0,1.4,355.2
16.7,0.31,589.0,4.5,1.0,2.3,134.8
17.0,0.29,818.0,-1.0,18.0,4.8,98.1
17.5,0.28,560.0,3.8,212.0,4.6,159.3
26.8,0.25,577.0,-0.7,418.0,2.7,141.1
19.6,0.25,570.0,-0.8,377.0,4.5,123.2
20.6,0.22,534.0,-1.6,683.0,3.8,86.7
22.4,0.21,824.1,-0.9,685.0,3.3,37.4
21.3,0.22,557.0,-1.1,404.0,2.8,111.2
21.9,0.5,578.0,-0.7,458.0,2.3,293.0
22.0,0.22,582.0,-0.6,213.0,2.5,253.8
21.2,0.24,604.0,-0.1,147.0,2.9,265.4
20.2,0.25,592.0,-0.4,57.0,1.5,358.9
19.4,0.26,586.0,4.4,3.0,0.8,240.6
18.6,0.28,600.0,-0.2,0.0,4.4,355.4
17.7,0.29,841.3,-0.5,0.0,1.4,201.4
17.2,0.32,628.0,0.4,444.5,1.9,239.5
16.8,0.33,631.0,0.4,445.8,1.8,313.4
16.1,0.35,640.0,0.6,447.1,1.8,0.4
15.5,0.37,652.0,0.9,0.0,5.0,257.4
15.9,0.38,687.0,6.5,0.0,2.2,1.4
15.8,0.43,772.0,3.3,0.0,2.9,75.3
14.8,0.46,774.0,3.3,0.0,1.7,480.4
13.8,0.5,789.0,3.6,0.0,1.6,29.4
13.2,0.55,835.0,4.4,448.4,1.2,292.0
12.3,0.61,1126.8,5.0,0.0,2.5,337.6
12.6,0.62,905.0,10.4,13.0,1.5,294.6
14.0,0.56,895.0,10.4,110.0,1.1,100.2
15.8,0.48,862.0,4.8,281.0,1.7,234.2
17.0,0.45,1131.0,5.0,448.0,2.6,78.6
18.0,0.7,888.0,5.2,648.0,2.7,77.2
18.5,0.39,1095.1,4.3,521.0,3.2,317.2
17.2,0.41,805.0,3.9,820.6,2.7,305.6
17.3,0.36,711.0,2.1,342.0,4.7,325.9
17.2,0.34,667.0,6.3,317.0,4.0,335.9
18.1,0.31,644.0,0.7,312.0,6.4,325.1
25.1,0.31,636.0,0.6,148.0,2.2,15.6
16.2,0.35,645.0,0.8,476.1,1.2,340.0
14.4,0.42,689.0,1.7,0.0,1.1,489.3
12.9,0.47,699.0,1.9,0.0,1.6,433.2
13.0,0.49,734.0,7.6,0.0,2.2,206.5
13.1,0.8,799.0,3.8,0.0,2.1,122.9
12.0,0.69,1236.5,6.5,0.0,4.7,154.1
20.2,0.62,922.0,5.8,0.0,3.6,237.6
13.2,0.57,865.0,4.9,459.7,1.8,97.2
12.4,0.63,907.0,5.6,0.0,1.6,99.5
11.3,0.7,937.0,6.0,0.0,1.0,431.9
10.9,0.74,965.0,6.5,460.9,1.2,55.6
11.1,0.74,1253.6,6.7,0.0,1.1,286.3
11.1,0.75,991.0,6.8,464.1,1.5,103.6
12.2,0.71,1291.9,7.1,92.0,2.9,117.8
13.8,0.9,1010.0,7.1,273.0,3.2,66.1
15.0,0.54,921.0,5.8,449.0,3.7,147.5
15.9,0.52,939.0,6.1,585.0,4.2,128.2
16.9,0.49,943.0,6.1,674.0,5.0,345.1
24.9,0.46,926.0,5.9,707.0,5.2,140.5
17.9,0.45,923.0,5.8,681.0,4.8,131.9
18.3,0.42,1173.9,5.2,607.0,5.7,113.9
18.5,0.4,852.0,4.7,477.0,8.4,99.6
18.2,0.4,1132.5,4.4,302.0,4.3,159.9
17.7,0.7,749.0,2.8,109.0,3.4,161.8
16.0,0.43,782.0,3.4,2.0,1.8,132.3
14.2,0.5,810.0,3.9,0.0,4.9,224.8
22.1,0.49,820.0,4.1,0.0,1.0,120.9
14.0,0.8,831.0,4.3,0.0,1.7,228.5
14.1,0.52,837.0,4.4,0.0,2.2,372.9
21.9,0.49,804.0,3.8,0.0,1.6,69.2
13.7,0.53,831.0,4.3,0.0,1.5,249.8
13.5,0.53,1121.1,4.1,0.0,1.8,249.2
14.2,0.52,842.0,4.5,0.0,4.3,145.9
13.9,0.8,842.0,4.5,0.0,0.8,234.5
13.8,0.8,852.0,4.7,0.0,1.5,292.3
12.4,0.6,864.0,4.9,0.0,2.2,224.5
13.2,0.9,850.0,4.6,1.0,1.1,152.0
15.1,0.51,875.0,5.0,86.0,2.0,342.8
17.1,0.45,878.0,5.1,726.2,2.2,157.6
18.1,0.42,1177.5,5.0,439.0,3.1,63.7
18.5,0.4,852.0,4.7,578.0,3.4,271.7
19.0,0.39,857.0,10.0,492.0,3.1,50.2
18.2,0.41,857.0,4.8,270.0,4.0,61.8
26.6,0.37,818.0,4.1,407.0,3.9,112.0
16.7,0.51,970.0,11.8,186.0,4.2,150.4
19.1,0.4,884.0,5.2,454.0,1.9,150.8
19.5,0.35,793.0,3.6,97.0,1.5,235.9
17.7,0.38,770.0,3.2,26.0,2.5,251.6
16.3,0.45,834.0,4.4,3.0,3.6,351.4
22.4,0.49,825.0,4.2,0.0,1.8,247.0
14.9,0.46,779.0,3.4,0.0,2.3,158.7
15.9,0.43,1087.9,3.4,0.0,2.3,234.6
15.3,0.44,765.0,3.1,0.0,2.2,251.3
14.9,0.45,1076.4,3.1,0.0,2.9,246.6
21.8,0.46,740.0,2.7,0.0,2.1,261.9
13.7,0.47,737.0,2.6,469.5,2.1,239.3
14.0,0.46,735.0,2.6,0.0,1.8,431.0
13.4,0.48,1055.7,2.6,0.0,2.1,239.2
21.6,0.47,746.0,2.8,0.0,1.8,222.2
14.0,0.47,751.0,2.9,0.0,2.1,245.2
13.7,0.49,1088.5,3.2,1.0,2.2,236.1
14.2,0.49,793.0,3.6,547.6,2.2,280.5
17.2,0.41,805.0,3.9,251.0,1.0,104.1
19.3,0.35,784.0,3.5,433.0,2.2,75.1
19.0,0.37,813.0,4.0,573.0,3.7,28.6
19.9,0.7,813.0,4.0,659.0,3.3,20.9
20.3,0.34,810.0,3.9,648.0,3.8,257.8
20.5,0.33,796.0,3.7,673.0,6.8,23.4
20.4,0.33,791.0,3.6,461.0,3.3,268.3
19.8,0.35,808.0,3.9,301.0,3.0,63.3
19.6,0.37,844.0,4.5,216.0,2.6,276.6
18.6,0.39,836.0,4.4,66.0,1.6,385.0
17.2,0.42,824.0,9.6,2.0,1.8,245.0
24.4,0.43,812.0,4.0,0.0,2.2,241.2
16.5,0.39,732.0,2.5,0.0,2.2,235.8
16.5,0.33,942.9,0.2,0.0,2.0,246.4
15.8,0.3,539.0,-1.5,0.0,2.4,244.5
15.7,0.29,517.0,-2.0,0.0,2.4,236.0
15.8,0.6,503.0,-2.3,0.0,2.2,238.9
14.7,0.33,552.0,-1.2,0.0,1.6,265.2
13.9,0.39,619.0,0.2,0.0,2.1,233.5
14.9,0.4,678.0,1.4,473.3,2.2,242.4
22.6,0.39,652.0,0.9,0.0,2.4,240.7
14.7,0.7,636.0,0.6,0.0,2.2,237.4
14.3,0.4,652.0,0.9,0.0,2.0,249.0
15.0,0.39,665.0,1.2,68.0,5.1,287.6
18.7,0.32,690.0,1.7,260.0,1.4,224.1
19.1,0.6,752.0,2.9,447.0,2.6,55.4
19.8,0.32,739.0,2.6,530.0,6.5,61.4
20.4,0.3,719.0,2.3,538.0,3.8,50.0
20.6,0.29,704.0,2.0,493.0,7.5,117.2
20.4,0.6,695.0,1.8,368.0,3.2,134.7
21.0,0.28,1020.3,1.8,533.0,3.7,114.3
21.2,0.28,705.0,2.0,856.3,2.8,111.7
21.3,0.28,1035.2,2.1,270.0,2.5,48.4
20.4,0.29,695.0,1.8,81.0,1.2,236.2
18.1,0.33,685.0,1.6,0.0,1.5,452.0
17.6,0.31,624.0,5.8,0.0,1.1,176.1
17.0,0.32,620.0,0.2,482.9,2.2,251.3
16.1,0.34,622.0,0.2,0.0,5.6,252.2
17.4,0.3,924.4,-0.3,0.0,3.4,239.7
25.0,0.28,546.0,-1.4,0.0,4.4,254.7
15.9,0.29,852.3,-1.9,0.0,4.8,273.1
14.6,0.32,532.0,3.8,0.0,5.3,261.7
